"reward","event_id","action","action_prob","model_id","observation","sample_prob"
"1","182870351857627563079466847387350335490","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.054691930584192305"
"1","182872196289250895153246025090514157570","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7688296710698401"
"0","182873364112366355409582153928342110210","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5922680359613577"
"1","182874434484841923120783042707111149570","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.38502366419639045"
"1","182875491388529863407046540583408631810","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.15491084532434174"
"1","182877630548917748544161566270067703810","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7809729178476745"
"0","182879793477754387960577870019911876610","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5290620438640595"
"1","182882158438405438749268234154670161922","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7709783530213586"
"0","182883807968748985732776931739716157442","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6386690892299594"
"0","182884844273114672310312655294586552322","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.709946400129745"
"0","182885905930492363454223211935680299010","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.16226703682677468"
"1","182886993733163684303578371294118412290","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6641822297261043"
"1","182888054598259750303058748847613411330","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6328097788313284"
"0","182889121009327192301042757949184933890","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5000284270607184"
"0","182891213425099194022198603444913307650","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5215836745945804"
"1","182892280628448261162825988481924333570","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6109733673300585"
"1","182893331193883200307942478874705788930","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.08410390759918351"
"1","182894402358640393161786743588914331650","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.24700412629152224"
"0","182896513789171398306383611535190786050","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.31748660402898743"
"0","182897565939169587736786853798851248130","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6313480021785328"
"1","182898608581788275455469584837237669890","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.3179506466639048"
"1","182900571855655378925755152856326995970","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5348266648981084"
"0","182901566169094932943191951832903712770","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6876408271540146"
"0","182902547806028484678334735842448375810","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.43062318016205225"
"0","182903524689272285557617264239356018690","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.3474182086486407"
"1","182904513456740463576550431667856211970","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7649896917749268"
"1","182905492716829139883763087871082364930","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.16840488942527576"
"0","182906471184636191048332368138869014530","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.22301597087514557"
"1","182907447275598366784971520600337154050","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6000473656089951"
"0","182908461396078549368492717962901454850","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7271229545465602"
"1","182909441448448850818348750101567111170","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.22286310829007105"
"1","182910428631353778551995165659188297730","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.16283378361609913"
"1","182911446713242086848733242698950115330","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7662187182870077"
"0","182912454495469268291107432577998389250","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.26787902532784313"
"1","182913451185753697736474359360893616130","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.36362954924059554"
"1","182914449460601377467128038014667849730","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.4477695347870593"
"1","182915442981759306341921461055805063170","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.677381416562301"
"0","182916435710635610074071508161502773250","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.5457462731939622"
"0","182919403597603394416157762317882359810","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.012196830386923763"
"1","182920415341238701571748831874128150530","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.2946550415494653"
"1","182922396045301558180188670472886550530","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.3870470583665909"
"0","182923383228206485913835086030507737090","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6877885916475021"
"1","182924378333927665073915260942523957250","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.167221747684003"
"0","182926356661145646254424971734963847170","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.45327343723919566"
"0","182927354935993325985078650388738080770","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.19106348006011875"
"1","182928369848755133711243223686741884930","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6689742402376587"
"1","182929453690018328845594700215823237122","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7558831489786415"
"1","182932495259177251453514916368076636162","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.37266856053043174"
"0","182934518746447865766483858632727461890","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.7799716892965158"
"0","182936543818281730361165946463938805762","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.6239012496227769"
"1","182937582499492292366631797825127710722","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.36021491567336317"
"1","182938580774339972097285476478901944322","2","0.9995","bandits-1597522680-model-id-1597522695","[]","0.739397000348302"
