4,Excellent. Looking forward to Windows 10.
3,"I have used various versions over Norton over the years and I have never had problems with viruses slipping through. Finding sale prices is usually not too difficult, but renewal prices are WAY too high. (Just buy a new version the next year on sale to add-on for a much lower price than auto-renewal.)"
1,I do not like the new budget outline it's very difficult to use.  Also had to find it in the Planning section.
1,"Quicken 2015 release 8 will not recognize or remember my vault password. This was one of my reasons to upgrade. I've been on the help line with several different people and none have helped one bit, have spent hours trying to clear this problem. I see others have this same problem and to create a &#34;Remember Password&#34; is basic programing and yet Quicken can't get it. One person brought up &#34;why is password needed as bank/brokerage requires it&#34;, i.e. why is a password needed to get online?"
4,These dopes think I'm going to write something here. Nuts to them.
4,Not too much to say.  It's workin' fine.  I<br />'originally' purchased it from the manufacturer<br />but my computer crashed 'cause of a virus & the<br />program along with everything else was removed for<br />precaution.  The manufacturer did not replace it free so<br />I severed ties with them & re-purchased it thru you at a 'much<br />better' price.  Should I encounter the same problem in the future<br />(crash or virus) I can simply go to the amazon site & retrieve it from<br />my purchases & re-innstall it.  THANKS EVER SO MUCH for being there!
0,The VBA programs I developed do not work the same in this version.
0,I have norton on my computer and they wanted $79.00 to renew it. Amazon had it for $32.00 so i purchased the PC download<br />version. Two hours later it still is not working. So I have given up and ask for a refund. It should not be that hard to download<br />and install software. And i still blame Norton for charging so much for a renew.
2,It's great but still a resource hog.
3,The download and installation were problem-free. I was able to load in my TurboTax records from the previous year. Be sure to perform a software update after installation.
0,I was using Quicken 2012 and it was working perfectly fine until I received the message that it would no longer connect to my bank and other financial institutions.  Intuit programs this into the software intentionally - which I find reprehensible.  The only reason I upgraded was because I couldn't find another comparable software that would do the same thing.  As soon as I can find something I'm going to switch.
3,"I've used TurboTax for years. I've heard people say it doesn't cover all aspects of deductions. I say BS (to put is simply).  For those with simple tax returns, Turbo is more than most will ever need.  Yet, if you have many expenses/deductions across the board, Turbo will cover them all.<br /><br />I'm in Law Enforcement, own a property, give to charity, home energy improvements, etc. Turbo covers ALL areas of deductions and tax preparation.  TT covers all my standard deductions; mortgage interest, property taxes, work expenses (equipment costs, labor dues, education expenses), energy efficient upgrades to the house, charitable donations, tax software, medical, you name it.<br /><br />My father spent years doing taxes by hand. He finally used Turbo Tax to file his returns related to not just my folks, but the combining of trusts of his parents into his own. It all was covered in Turbo Tax<br /><br />If you make charitable donations during the year, considering using ItsDeductible online (another Intuit software).  The benefit is goods are valued based on national averages.  Those jeans you gave to good will for free, have a fair market value of $10.  I'm continually amazed at what people donate to charities like Goodwill, who never deduct the goods, which is perfectly legal to do.  ItsDeductible lists 1000s of items for donation and assigned a value.  Few realize, you are allowed to deduct the &#34;fair market value&#34; of goods you donate. So, if Goodwill sells jeans for $10, that is what you deduct.  ItsDeductible has made my donations easy, good value and when you use TurboTax, it will import your donations from I.D. into your tax return."
4,"This is one of the best accounting application I have ever used. It is great. Easy to deal with. Clear. And the reports are fantastic. I used it for many companies. Some were using other accounting apps, while others were using many excel sheets. The migration was easy using third party application to have excel sheets match the QuickBooks format.<br /><br />I only can say that QuickBooks is the best.<br /><br />Faihan Otaibi<br />Saudi Arabia<br />faihan.otaibi@gmail.com"
0,"I spent almost 6 hours trying to get this to work via an Ethernet cable between a new PC (Windows 7) and an old machine (Windows XP).  Finally, my intelligence was truly insulted by the Company's 3rd party, tech support company, iYogi.  In order to make this program work I needed to clean up some malware.  He'd do that for me for $116 then he'd see if he could make the the PCMover do its thing, but no guarantees.  I cleaned up the 'malware' myself and, still no transfer.  Unless you are a glutton for punishment forget Laplink!"
0,Tried to install. Was able to install on a trial basis. So far I have received 57 &#34;please upgrade&#34; notifications.<br />Informed Amazon. No response. Total POS that is a PIA.
3,"As good as Quicken is as a financial tool, the updates seem to generally make changes that still leave holes in the program.  I can also tell from trying other financial software that most of the changes in the last 2 years were to keep up with the competition and not from having original ideas. There are very small changes that could make it much easier to track your finances.  You can't change the color of the fonts, the size or make them boild so you can't customize specific transactions that would make it much easier to track important payments. There is no ability to highlight rows in the register either.  Again making easy recognition difficult.  I can't see how doing this would be a costly change.  I don 't particularly want to make it into a program that dazzles with colors or fancy useless items, but some small basic changes would help.<br /><br />I've used Quicken since it first came out and still use it because overall it is a good, easy to learn program.  But every year I look forward to the new version but alas, it's \\""STILL THE SAME\\""."
2,"I changed to McAfee from Norton and the first thing that I noticed was that my computer became slower, significantly. Not sure that I'll stay with McAfee the whole year..."
2,"Don't like extra charge for eFiling state.<br /><br />Don't like the CONTINUE and BACK radio buttons that are traditional for this software, especially since they're in a different spot on every page so you can't just click without moving your mouse if you want to navigate more than 1 page away. Should use standard Windows back and forward arrows at the top of each page, so they will be fixed in location.<br /><br />Step-by-Step screens with user choice could be better implemented by using drop down menus to select more specific topics, rather than having to go through submenus.<br /><br />Otherwise, this software does what it is supposed to do, which competitors (based on prior years) don't do as well."
2,I was running Quicken 2012 on Win8.1 and was having some weird issues so I decided up upgrade to 2015.  Everything functions the same and the performance issues are mostly gone.  The big add is the mobile feature but I have not felt the need to initiate it since I already have online banking and Mint.com.  It's nice to know I have the latest version and updates with Win10 coming out this summer.
3,Seems to keep me will protected from virus etc.  Have used for over a year (I think)<br />Am not familiar with other like products.  Pop ups remind of status.
