USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
429,222,828124615,watch
429,227,828124615,click
429,595,828124615,watch
429,592,828124615,watch
429,590,828124615,watch
429,434,828124615,watch
429,421,828124615,watch
429,225,828124615,click
429,343,828124615,click
429,222,828124615,click
429,218,828124615,click
429,165,828124615,click
429,161,828124615,click
429,150,828124615,click
429,22,828124615,click
429,218,828124615,watch
429,225,828124615,watch
429,351,828124615,watch
429,349,828124615,click
429,588,828124615,watch
429,165,828124615,watch
429,351,828124615,click
429,22,828124615,watch
429,595,828124615,click
429,592,828124615,click
429,590,828124615,click
429,588,828124615,click
429,468,828124615,click
429,434,828124615,click
429,150,828124615,watch
429,421,828124615,click
429,420,828124615,click
429,161,828124615,watch
429,432,828124615,click
429,207,828124616,watch
429,60,828124616,watch
429,256,828124616,click
429,252,828124616,click
429,236,828124616,watch
429,237,828124616,watch
429,48,828124616,click
429,60,828124616,click
429,195,828124616,watch
429,48,828124616,watch
429,151,828124616,click
429,204,828124616,watch
429,195,828124616,click
429,169,828124616,click
429,185,828124616,click
429,186,828124616,click
429,204,828124616,click
429,207,828124616,click
429,208,828124616,click
429,151,828124616,watch
429,252,828124616,watch
429,186,828124616,watch
429,185,828124616,watch
429,168,828124616,watch
429,234,828124616,click
429,168,828124616,click
429,256,828124616,watch
429,257,828124616,click
429,261,828124616,watch
429,300,828124616,click
429,257,828124616,watch
429,300,828124616,watch
429,315,828124616,watch
429,317,828124616,watch
429,339,828124616,watch
429,380,828124616,watch
429,294,828124616,click
429,381,828124616,watch
429,316,828124616,click
429,317,828124616,click
429,329,828124616,click
429,339,828124616,click
429,380,828124616,click
429,381,828124616,click
429,553,828124616,click
429,315,828124616,click
429,292,828124616,click
429,292,828124616,watch
429,282,828124616,click
429,266,828124616,watch
429,270,828124616,watch
429,274,828124616,watch
429,281,828124616,watch
429,289,828124616,click
429,282,828124616,watch
429,289,828124616,watch
429,237,828124616,click
429,236,828124616,click
429,266,828124616,click
429,270,828124616,click
429,274,828124616,click
429,276,828124616,click
429,279,828124616,click
429,281,828124616,click
429,261,828124616,click
429,164,828124762,click
107,1,829322340,watch
107,2,829322340,watch
107,5,829322340,watch
107,11,829322340,watch
107,141,829322340,watch
107,140,829322340,watch
107,105,829322340,watch
107,62,829322340,watch
107,1,829322340,click
107,104,829322340,click
107,141,829322340,click
107,62,829322340,click
107,140,829322340,click
107,105,829322340,click
107,11,829322340,click
107,5,829322340,click
107,2,829322340,click
191,1,829759809,watch
191,94,829759809,watch
191,720,829759809,click
191,668,829759809,click
191,581,829759809,click
191,494,829759809,click
191,6,829759809,watch
191,16,829759809,watch
191,21,829759809,watch
191,140,829759809,click
191,25,829759809,watch
191,32,829759809,watch
191,36,829759809,watch
191,52,829759809,watch
191,58,829759809,watch
191,85,829759809,watch
191,99,829759809,watch
191,111,829759809,watch
191,720,829759809,watch
191,668,829759809,watch
191,608,829759809,watch
191,581,829759809,watch
191,17,829759809,watch
191,111,829759809,click
191,608,829759809,click
191,99,829759809,click
191,1,829759809,click
191,6,829759809,click
191,16,829759809,click
191,17,829759809,click
191,25,829759809,click
191,32,829759809,click
191,36,829759809,click
191,52,829759809,click
191,58,829759809,click
191,85,829759809,click
191,94,829759809,click
191,95,829759809,click
191,21,829759809,click
191,223,829760897,click
191,213,829760897,click
191,235,829760897,watch
191,230,829760897,watch
191,417,829760897,watch
191,229,829760897,watch
191,224,829760897,watch
191,72,829760897,click
191,223,829760897,watch
191,215,829760897,watch
191,213,829760897,watch
191,175,829760897,watch
191,175,829760897,click
191,144,829760897,watch
191,162,829760897,click
191,155,829760897,watch
191,161,829760897,click
191,34,829760897,click
191,158,829760897,click
191,155,829760897,click
191,110,829760897,click
191,150,829760897,click
191,148,829760897,click
191,144,829760897,click
191,34,829760897,watch
191,148,829760897,watch
191,215,829760897,click
191,162,829760897,watch
191,417,829760897,click
191,468,829760897,click
191,348,829760897,click
191,224,829760897,click
191,229,829760897,click
191,230,829760897,click
191,235,829760897,click
191,236,829760897,click
191,246,829760897,click
191,348,829760897,watch
191,347,829760897,watch
191,246,829760897,watch
191,72,829760897,watch
191,347,829760897,click
191,194,829760898,watch
191,261,829760898,watch
191,265,829760898,watch
191,272,829760898,watch
191,281,829760898,watch
191,283,829760898,watch
191,151,829760898,watch
191,293,829760898,watch
191,296,829760898,watch
191,337,829760898,watch
191,319,829760898,watch
191,318,829760898,watch
191,314,829760898,watch
191,299,829760898,watch
191,307,829760898,watch
191,306,829760898,watch
191,300,829760898,watch
191,673,829760898,watch
191,308,829760898,watch
191,47,829760898,watch
191,194,829760898,click
191,496,829760898,click
191,380,829760898,click
191,337,829760898,click
191,319,829760898,click
191,318,829760898,click
191,314,829760898,click
191,308,829760898,click
191,307,829760898,click
191,306,829760898,click
191,300,829760898,click
191,299,829760898,click
191,296,829760898,click
191,293,829760898,click
191,288,829760898,click
191,283,829760898,click
191,282,829760898,click
191,281,829760898,click
191,272,829760898,click
191,269,829760898,click
191,265,829760898,click
191,261,829760898,click
191,193,829760898,click
191,673,829760898,click
191,496,829760898,watch
191,50,829760898,watch
191,50,829760898,click
191,47,829760898,click
191,151,829760898,click
99,10,829827514,watch
99,10,829827514,click
99,160,829828005,click
99,344,829828005,click
99,145,829828005,watch
99,231,829828005,watch
99,153,829828005,click
99,165,829828005,click
99,225,829828005,click
99,150,829828005,watch
99,163,829828005,watch
99,161,829828005,click
99,163,829828005,click
99,150,829828005,click
99,22,829828005,watch
99,225,829828005,watch
99,23,829828005,watch
99,145,829828005,click
99,122,829828005,click
99,23,829828005,click
99,165,829828005,watch
99,228,829828005,click
99,231,829828005,click
99,227,829828005,click
99,349,829828005,click
99,122,829828005,watch
99,153,829828005,watch
99,22,829828005,click
99,592,829828005,click
99,435,829828005,click
99,349,829828005,watch
99,434,829828005,click
99,416,829828005,watch
99,588,829828005,watch
99,420,829828005,click
99,592,829828005,watch
99,588,829828005,click
99,416,829828005,click
99,344,829828005,watch
99,413,829828005,click
99,325,829828006,click
99,253,829828006,watch
99,252,829828006,watch
99,236,829828006,watch
99,315,829828006,click
99,296,829828006,click
99,168,829828006,watch
99,293,829828006,click
99,288,829828006,click
99,282,829828006,click
99,281,829828006,click
99,276,829828006,click
99,266,829828006,watch
99,266,829828006,click
99,292,829828006,click
99,276,829828006,watch
99,256,829828006,watch
99,259,829828006,click
99,281,829828006,watch
99,282,829828006,watch
99,292,829828006,watch
99,293,829828006,watch
99,296,829828006,watch
99,318,829828006,watch
99,257,829828006,watch
99,196,829828006,click
99,168,829828006,click
99,318,829828006,click
99,257,829828006,click
99,256,829828006,click
99,253,829828006,click
99,252,829828006,click
99,234,829828006,click
99,248,829828006,click
99,236,829828006,click
99,380,829828007,click
99,339,829828007,watch
